GEOID,n_nodes,n_edges_dir,orientation_entropy,link_node_ratio,dead_end_frac,n_intersections,circuity_avg,reach_mean,reach_gini,n_reach_sources,uoi_connectivity,uoi_efficiency,uoi_accessibility,uoi_equity,status
06075020102,155,424,2.290711813115919,1.367741935483871,0.2,111,1.0232675007141998,150.05161290322582,0.012817233889691785,155,1.367741935483871,0.9772615658193385,150.05161290322582,0.9871827661103082,ok
06075020201,97,270,2.026564162630421,1.3917525773195876,0.20618556701030927,65,1.0361920327362921,96.0,0.0,97,1.3917525773195876,0.9650720796986644,96.0,1.0,ok
06075020202,189,490,2.815947590921458,1.2962962962962963,0.26455026455026454,117,1.0190638070416012,182.25396825396825,0.01887042274895713,189,1.2962962962962963,0.9812928229715621,182.25396825396825,0.9811295772510429,ok
06075020300,250,680,2.497448116729973,1.36,0.268,169,1.022765585170213,203.504,0.10591681735985525,250,1.36,0.9777411505624485,203.504,0.8940831826401447,ok
06075020401,167,436,3.369175032203294,1.3053892215568863,0.25149700598802394,113,1.0719257105858901,136.2994011976048,0.09683646501917526,167,1.3053892215568863,0.9329004707363748,136.2994011976048,0.9031635349808247,ok
06075020402,275,724,3.5239106649452423,1.3163636363636364,0.2109090909090909,195,1.12587119200222,116.75636363636363,0.20279760354258913,275,1.3163636363636364,0.8882010722928492,116.75636363636363,0.7972023964574109,ok
06075020500,210,586,2.7797480315511818,1.3952380952380952,0.1761904761904762,157,1.0656502749272247,197.4,0.037636668987081415,210,1.3952380952380952,0.938394165072863,197.4,0.9623633310129186,ok
06075020601,224,650,2.417150490754704,1.4508928571428572,0.14285714285714285,169,1.0255983011638075,186.63392857142858,0.09136419242624097,224,1.4508928571428572,0.9750406166480975,186.63392857142858,0.9086358075737591,ok
06075020602,136,428,2.422922726697834,1.5735294117647058,0.04411764705882353,116,1.064978620173258,128.5,0.034520451577289266,136,1.5735294117647058,0.9389859862513608,128.5,0.9654795484227108,ok
06075020701,130,404,1.8749729734822522,1.5538461538461539,0.09230769230769231,104,1.0413279498116066,126.9076923076923,0.012579613379710308,130,1.5538461538461539,0.9603122629916123,126.9076923076923,0.9874203866202897,ok
06075020702,99,304,2.124280087622728,1.5353535353535352,0.08080808080808081,77,1.023186636832869,97.87878787878788,0.001167505811468482,99,1.5353535353535352,0.9773388001776098,97.87878787878788,0.9988324941885315,ok
06075020801,150,408,2.1594695646955615,1.36,0.24666666666666667,94,1.0946340211856158,147.48,0.00839767350751913,150,1.36,0.9135473415277956,147.48,0.9916023264924809,ok
06075020802,99,278,2.199104191974096,1.404040404040404,0.1919191919191919,67,1.005210056207783,94.08080808080808,0.019987289688814375,99,1.404040404040404,0.9948169477855819,94.08080808080808,0.9800127103111856,ok
06075020900,260,808,2.2717193788339562,1.5538461538461539,0.13076923076923078,208,1.0174554704627838,229.3153846153846,0.06668950284226517,260,1.5538461538461539,0.9828439956641598,229.3153846153846,0.9333104971577348,ok
06075021000,268,842,2.252202985269157,1.5708955223880596,0.10820895522388059,220,1.0140201427817264,247.08955223880596,0.04753264784503937,268,1.5708955223880596,0.9861737038642394,247.08955223880596,0.9524673521549606,ok
06075021100,199,602,2.2776359788045637,1.5125628140703518,0.1457286432160804,152,1.0389354026365551,176.71356783919597,0.06324119031145027,199,1.5125628140703518,0.962523750237265,176.71356783919597,0.9367588096885497,ok
06075021200,112,312,2.6943988367365863,1.3928571428571428,0.20535714285714285,78,1.0488004827137665,87.67857142857143,0.09394821064882157,112,1.3928571428571428,0.9534701942666012,87.67857142857143,0.9060517893511785,ok
06075021300,136,388,2.4715762631846023,1.4264705882352942,0.19117647058823528,97,1.0137117753056117,97.04411764705883,0.13073616323328832,136,1.4264705882352942,0.9864736943580655,97.04411764705883,0.8692638367667117,ok
06075021400,258,850,2.058483152515824,1.6472868217054264,0.06589147286821706,221,1.02462583717671,227.1627906976744,0.0650195650195651,258,1.6472868217054264,0.9759660197086529,227.1627906976744,0.9349804349804349,ok
06075021500,240,770,2.085838159310505,1.6041666666666667,0.09583333333333334,204,1.0906353681025445,205.75833333333333,0.07159305684932432,240,1.6041666666666667,0.9168967275834551,205.75833333333333,0.9284069431506756,ok
06075021600,165,428,2.9931193787749564,1.2969696969696969,0.23636363636363636,112,1.0752003063002038,91.18787878787879,0.14870840533475113,165,1.2969696969696969,0.9300592588566401,91.18787878787879,0.8512915946652488,ok
06075021700,417,1180,3.5279416497077927,1.4148681055155876,0.15587529976019185,326,1.1028587532341676,143.25659472422063,0.2454250868279898,417,1.4148681055155876,0.9067344272940382,143.25659472422063,0.7545749131720102,ok
06075021800,250,758,3.2395754648929103,1.516,0.108,196,1.0273460980591502,143.784,0.09829455294052196,250,1.516,0.9733818056925391,143.784,0.9017054470594781,ok
06075022600,859,2658,2.691973399066049,1.5471478463329453,0.1280558789289872,724,1.0335570573664348,426.57,0.17411477600393835,500,1.5471478463329453,0.9675324578094022,426.57,0.8258852239960617,ok
06075022702,252,736,2.614197281387677,1.4603174603174602,0.0873015873015873,208,1.0077351356529205,241.62698412698413,0.023749957638937672,252,1.4603174603174602,0.9923242374119378,241.62698412698413,0.9762500423610623,ok
06075022704,406,1166,2.7763204590495,1.435960591133005,0.09852216748768473,339,1.0204184845091486,357.7881773399015,0.06628990335315992,406,1.435960591133005,0.979990087577676,357.7881773399015,0.9337100966468401,ok
06075022801,281,846,2.21992749804722,1.5053380782918149,0.16725978647686832,212,1.0228559669188655,233.08896797153025,0.08453274876557579,281,1.5053380782918149,0.9776547552558018,233.08896797153025,0.9154672512344242,ok
06075022802,241,702,2.451066434505386,1.4564315352697095,0.17842323651452283,187,1.0834414332946405,193.04564315352698,0.10456691963920998,241,1.4564315352697095,0.9229848234242776,193.04564315352698,0.8954330803607901,ok
